#dtstart,2019-07-30 15:40:19.753
Time,VOLT,Event
0.269,0.310383,,
0.270,0.339681,,
0.270,0.365318,,
0.270,0.389123,,
0.271,0.411097,,
0.271,0.433071,,
0.272,0.451383,,
0.272,0.467863,,
0.272,0.486175,,
0.273,0.500824,,
0.273,0.50998,,
0.274,0.511811,,
0.274,0.50998,,
0.274,0.508149,,
0.275,0.504486,,
0.275,0.500824,,
0.276,0.495331,,
0.276,0.486175,,
0.276,0.471525,,
0.277,0.460538,,
0.277,0.449551,,
0.278,0.438564,,
0.278,0.423915,,
0.278,0.403772,,
0.279,0.381798,,
0.279,0.367149,,
0.280,0.356162,,
0.280,0.343344,,
0.280,0.330526,,
0.281,0.319539,,
0.281,0.312214,,
0.282,0.308552,,
0.282,0.299396,,
0.282,0.288409,,
0.283,0.282915,,
0.283,0.281084,,
0.284,0.275591,,
0.284,0.266435,,
0.284,0.260941,,
0.285,0.257279,,
0.285,0.260941,,
0.286,0.262772,,
0.286,0.266435,,
0.286,0.270097,,
0.287,0.271928,,
0.287,0.273759,,
0.288,0.281084,,
0.288,0.286578,,
0.288,0.29024,,
0.289,0.29024,,
0.289,0.295733,,
0.290,0.303058,,
0.290,0.304889,,
0.290,0.303058,,
0.291,0.303058,,
0.291,0.308552,,
0.292,0.312214,,
0.292,0.312214,,
0.292,0.308552,,
0.293,0.308552,,
0.293,0.308552,,
0.294,0.30672,,
0.294,0.303058,,
0.294,0.301227,,
0.295,0.295733,,
0.295,0.29024,,
0.296,0.292071,,
0.296,0.293902,,
0.296,0.29024,,
0.297,0.286578,,
0.297,0.284746,,
0.298,0.282915,,
0.298,0.284746,,
0.298,0.284746,,
0.299,0.282915,,
0.299,0.282915,,
0.300,0.286578,,
0.300,0.293902,,
0.300,0.297565,,
0.301,0.301227,,
0.301,0.30672,,
0.302,0.310383,,
0.302,0.310383,,
0.302,0.308552,,
0.303,0.315876,,
0.303,0.326863,,
0.304,0.334188,,
0.304,0.334188,,
0.304,0.336019,,
0.305,0.33785,,
0.305,0.33785,,
0.306,0.33785,,
0.306,0.336019,,
0.306,0.332357,,
0.307,0.332357,,
0.307,0.336019,,
0.308,0.336019,,
0.308,0.334188,,
0.308,0.332357,,
0.309,0.332357,,
0.309,0.330526,,
0.310,0.328694,,
0.310,0.328694,,
0.310,0.330526,,
0.311,0.330526,,
0.311,0.328694,,
0.312,0.326863,,
0.312,0.323201,,
0.312,0.32137,,
0.313,0.32137,,
0.313,0.325032,,
0.314,0.328694,,
0.314,0.328694,,
0.314,0.326863,,
0.315,0.32137,,
0.315,0.315876,,
0.316,0.314045,,
0.316,0.314045,,
0.316,0.315876,,
0.317,0.319539,,
0.317,0.319539,,
0.318,0.317707,,
0.318,0.312214,,
0.318,0.30672,,
0.319,0.308552,,
0.319,0.312214,,
0.320,0.314045,,
0.320,0.314045,,
0.320,0.312214,,
0.321,0.308552,,
0.321,0.308552,,
0.322,0.314045,,
0.322,0.317707,,
0.322,0.317707,,
0.323,0.317707,,
0.323,0.315876,,
0.324,0.312214,,
0.324,0.310383,,
0.324,0.312214,,
0.325,0.315876,,
0.325,0.317707,,
0.326,0.317707,,
0.326,0.319539,,
0.326,0.319539,,
0.327,0.32137,,
0.327,0.323201,,
0.328,0.328694,,
0.328,0.334188,,
0.328,0.336019,,
0.329,0.339681,,
0.329,0.343344,,
0.330,0.345175,,
0.330,0.341513,,
0.330,0.334188,,
0.331,0.326863,,
0.331,0.323201,,
0.332,0.325032,,
0.332,0.325032,,
0.332,0.323201,,
0.333,0.315876,,
0.333,0.312214,,
0.334,0.314045,,
0.334,0.315876,,
0.334,0.315876,,
0.335,0.312214,,
0.335,0.314045,,
0.336,0.317707,,
0.336,0.319539,,
0.336,0.317707,,
0.337,0.319539,,
0.337,0.32137,,
0.338,0.32137,,
0.338,0.323201,,
0.338,0.328694,,
0.339,0.332357,,
0.339,0.330526,,
0.340,0.328694,,
0.340,0.328694,,
0.340,0.330526,,
0.341,0.332357,,
0.341,0.328694,,
0.342,0.326863,,
0.342,0.328694,,
0.342,0.328694,,
0.343,0.326863,,
0.343,0.323201,,
0.344,0.319539,,
0.344,0.317707,,
0.344,0.32137,,
0.345,0.323201,,
0.345,0.323201,,
0.346,0.32137,,
0.346,0.319539,,
0.346,0.317707,,
0.347,0.315876,,
0.347,0.310383,,
0.348,0.30672,,
0.348,0.304889,,
0.348,0.30672,,
0.349,0.30672,,
0.349,0.308552,,
0.350,0.310383,,
0.350,0.308552,,
0.350,0.308552,,
0.351,0.310383,,
0.351,0.314045,,
0.352,0.315876,,
0.352,0.314045,,
0.352,0.312214,,
0.353,0.310383,,
0.353,0.308552,,
0.354,0.30672,,
0.354,0.301227,,
0.354,0.299396,,
0.355,0.299396,,
0.355,0.299396,,
0.356,0.295733,,
0.356,0.292071,,
0.356,0.293902,,
0.357,0.301227,,
0.357,0.30672,,
0.358,0.310383,,
0.358,0.312214,,
0.358,0.315876,,
0.359,0.315876,,
0.359,0.317707,,
0.360,0.32137,,
0.360,0.325032,,
0.360,0.326863,,
0.361,0.326863,,
0.361,0.325032,,
0.362,0.328694,,
0.362,0.330526,,
0.362,0.328694,,
0.363,0.323201,,
0.363,0.32137,,
0.364,0.323201,,
0.364,0.326863,,
0.364,0.326863,,
0.365,0.326863,,
0.365,0.328694,,
0.366,0.330526,,
0.366,0.330526,,
0.366,0.328694,,
0.367,0.32137,,
0.367,0.315876,,
0.368,0.314045,,
0.368,0.317707,,
0.368,0.317707,,
0.369,0.315876,,
0.369,,,
0.370,0.312214,,
0.370,0.310383,,
0.370,0.30672,,
0.371,0.30672,,
0.371,0.30672,,
0.372,0.30672,,
0.372,0.30672,,
0.372,0.30672,,
0.373,0.310383,,
0.373,0.312214,,
0.374,0.314045,,
0.374,0.317707,,
0.374,0.323201,,
0.375,0.328694,,
0.375,0.330526,,
0.376,0.328694,,
0.376,0.326863,,
0.376,0.325032,,
0.377,0.323201,,
0.377,0.326863,,
0.378,0.328694,,
0.378,0.326863,,
0.378,0.323201,,
0.379,0.317707,,
0.379,0.314045,,
0.380,0.315876,,
0.380,0.319539,,
0.380,0.319539,,
0.381,0.310383,,
0.381,0.301227,,
0.382,0.297565,,
0.382,0.301227,,
0.382,0.303058,,
0.383,0.301227,,
0.383,0.293902,,
0.384,0.286578,,
0.384,0.286578,,
0.384,0.29024,,
0.385,0.293902,,
0.385,0.297565,,
0.386,0.303058,,
0.386,0.30672,,
0.386,0.310383,,
0.387,0.312214,,
0.387,0.315876,,
0.388,0.317707,,
0.388,0.32137,,
0.388,0.328694,,
0.389,0.330526,,
0.389,0.328694,,
0.390,0.328694,,
0.390,0.328694,,
0.390,0.328694,,
0.391,0.325032,,
0.391,0.323201,,
0.392,0.323201,,
0.392,0.323201,,
0.392,0.326863,,
0.393,0.330526,,
0.393,0.332357,,
0.394,0.336019,,
0.394,0.339681,,
0.394,0.336019,,
0.395,0.330526,,
0.395,0.325032,,
0.396,0.319539,,
0.396,0.317707,,
0.396,0.319539,,
0.397,0.317707,,
0.397,0.314045,,
0.398,0.312214,,
0.398,0.315876,,
0.398,0.317707,,
0.399,0.317707,,
0.399,0.315876,,
0.400,0.312214,,
0.400,0.310383,,
0.400,0.312214,,
0.401,0.315876,,
0.401,0.315876,,
0.402,0.315876,,
0.402,0.317707,,
0.402,0.319539,,
0.403,0.319539,,
0.403,0.315876,,
0.404,0.308552,,
0.404,0.30672,,
0.404,0.310383,,
0.405,0.312214,,
0.405,0.30672,,
0.406,0.303058,,
0.406,0.304889,,
0.406,0.312214,,
0.407,0.312214,,
0.407,0.30672,,
0.408,0.30672,,
0.408,0.312214,,
0.408,0.315876,,
